open_text,kampagne_specifikt,billige_billetter,afslappende_behageligt_nem_transport,tag_toget,ved_ikke,andet,plads_til_alle,klima_baeredygtighed_gron_omstilling,alternativ_transport
Billige billetter til dem der ikke skal være et bestemt sted til et bestemt tidspunkt,0,1,0,0,0,0,0,0,0
"At de gør alt for over 65 årige, det mislykkes totalt. At køre i tog skal ikke være et universitetsstudium",1,0,0,0,0,0,0,0,0
Der er mange muligheder,0,1,0,0,0,0,0,0,0
"Det har ikke så meget med mig at gøre, da jeg er 25?!",0,0,0,0,0,1,0,0,0
"At TakstVest er trådt i kraft, og at Rejsekortet nu er det billigste alternativ.",0,0,0,0,0,1,0,0,0
"Billigt, enkelt og fleksibelt for ældre passagerer.",1,0,1,0,0,0,0,0,0
"Nemheden i at bruge offentlige transportmidler, hvis man som seniorborger ønsker at krydse Storebælt.",1,0,1,0,0,0,0,0,0
at pensionister kan få rabat,1,0,0,0,0,0,0,0,0
"Hvis man kan rejse uden for den værste travlhed,kan man opnå en god rabat",0,1,0,0,0,0,0,0,0
Muligheder for valg,0,1,0,0,0,0,0,0,0
"At der er flere måder, som vi over 65 kan rejse til reduceret pris",1,0,0,0,0,0,0,0,0
Da jeg sjældent bruger DSB er spørgsmålet svært.  Jeg tror dog den skal oplyse mig mine muligheder.,1,0,0,0,0,0,0,0,0
At det kører godt.,0,0,0,0,0,1,0,0,0
Det er billigt for pensionister,1,0,0,0,0,0,0,0,0
Fortælle at pensionister ikke har råd til at tage toget?,1,0,0,0,0,0,0,0,0
At det er billigt at rejse som pensionist,1,0,0,0,0,0,0,0,0
Ja,0,0,0,0,0,1,0,0,0
Jeg er ligeglad!,0,0,0,0,0,1,0,0,0
At få folk til at tro at der ikke er sket en forringelse for pentionister,1,0,0,0,0,0,0,0,0
Der er flere billet typer,0,1,0,0,0,0,0,0,0
At pensionister i nogle situationer har mulighed for at rejse billigere med DSB,1,0,0,0,0,0,0,0,0
At der også  kan rejses billigt,0,0,1,0,0,0,0,0,0
"Der findes 3 typer rabat, når man er 65 og derover.",1,0,0,0,0,0,0,0,0
"Enkelthed, gode tilbud og målrettet til 65+",1,1,0,0,0,0,0,0,0
At det er billigere hvis man er pensionist,1,0,0,0,0,0,0,0,0
"At der tages hensyn til den ældre del af befolkningen, om end det ikke altid lykkes at faa billigste traansport",1,0,0,0,0,0,0,0,0
"At man som pensionist har flere muligheder for at opnå rabatter.
Måske vil de have “mimrekort”- omtalen udryddet.
Måske er der tale om gode tilbud, eller muligvis kan man også gå samme rabatter før man er 65. F.eks. de orange billetter.",0,1,0,0,0,0,0,0,0
At man som 65 og over kan få rabat på billetter,1,0,0,0,0,0,0,0,0
At er du +65 kan du få rabat,1,0,0,0,0,0,0,0,0
det skal se ud som et godt tilbud.,0,1,0,0,0,0,0,0,0
"At selvom vi har skåret mange rabatter væk for de ældre, så kan de der vil gerne opnå en lille besparelse alligevel",1,0,0,0,0,0,0,0,0
At man som 65 årig kan rejse billigt,1,0,0,0,0,0,0,0,0
Fleksible muligheder,0,0,1,0,0,0,0,0,0
"at folk over 65 har valgmuligheder, og at transporten bliver billist, hvis man planlægger sin rejse i god tid",1,0,0,0,0,0,0,0,0
at man som pensionist har flere valgmuligheder i forb. med køb af billet,1,0,0,0,0,0,0,0,0
du har et valg,0,1,0,0,0,0,0,0,0
At der er flere muligheder for seniorer ifht at spare på billetten.,1,0,0,0,0,0,0,0,0
Billige billetter til personer fra 65 år,1,0,0,0,0,0,0,0,0
At det er dejligt og billigt at rejse med DSB,0,0,1,0,0,0,0,0,0
"at de søger kunder, de ikke rejser i myldretiden",0,0,0,1,0,0,0,0,0
Tilbud til over 65,1,0,0,0,0,0,0,0,0
at det er godt og koster ikke så meget,0,1,0,0,0,0,0,0,0
Målrettet mod ældre mennesker for at få dem til at bruge DSB mere,1,0,0,1,0,0,0,0,0
Husk vi sælger billige billetter,0,0,0,1,0,0,0,0,0
At der er speciale billet typer for pensionister,1,0,0,0,0,0,0,0,0
At pensionister kan vælge flere billettyper ved rejse over Storebælt.,1,0,0,0,0,0,0,0,0
At de ældre lettere (billigere) kan rejse med DSB.,1,0,0,0,0,0,0,0,0
At der er forskellige pensionistrabatter,1,0,0,0,0,0,0,0,0
At det er bøvlet at købe billet også hvis man er over 65. Som om det er billigere at levere en plads på et tog tirs-ons formiddag end mandag morgen eller fredag eftermiddag!,1,0,0,0,0,0,0,0,0
De vil ha at vi skal bruge DSB,0,0,0,1,0,0,0,0,0
"at vi gamle bør tage toget i stedet for bilen, men med rollator og bagage, er det ikke atraktivt og heller ikke billigt",1,0,0,1,0,0,0,0,0
De vil vise flexiblitet samt ældre kunder sættes i fokus,1,0,0,0,0,0,0,0,0
At når jeg bliver gammel kan jeg vælge mellem 3 typer rejser,1,0,0,0,0,0,0,0,0
Rabatter for vi gamle som skal over Storebælt.,1,0,0,0,0,0,0,0,0
billigere tilbud til alle,0,1,0,0,0,0,0,0,0
At der findes flere alternativer,0,1,0,0,0,0,0,0,0
At det er nemt/fleksibelt for ældre at rejse med dsb,1,0,1,0,0,0,0,0,0
At der er flere muligheder for pensionister ift billettter,1,0,0,0,0,0,0,0,0
at man har et godt tilbud til pensionister,1,0,0,0,0,0,0,0,0
"At det er DSB, som gerne vil flytte med de ældre personer",1,0,0,0,0,0,0,0,0
at der er flere muligheder for billig billet,0,1,0,0,0,0,0,0,0
At det er billigt for pensionister at tage toget,1,0,0,0,0,0,0,0,0
Det hat jeg lige fortalt !!!,0,0,0,0,0,1,0,0,0
At der er et billigt alternativ til folk over 65 så de ikke skal betale fuld pris som vi andre,1,0,0,0,0,0,0,0,0
"Hvis du er over 65 år, er der mange muligheder for rejser over storebælt",1,0,0,0,0,0,0,0,0
"Tydeligt at der er mange muligheder for pensionister for at rejse rundt i landet. Jeg forestiller mig at er man i målgruppen, er det attraktivt.",1,0,0,0,0,0,0,0,0
at de også tilbyder rabatter for de lidt ældre og ikke kun for unge,1,0,0,0,0,0,0,0,0
De vil vel få ældre til at benytte DSB.,1,0,0,1,0,0,0,0,0
At der er tre billet muligheder for rejser over Storebælt for pensionister,1,0,0,0,0,0,0,0,0
Give gode alternativer,0,1,0,0,0,0,0,0,0
nemt og afslappende,0,0,1,0,0,0,0,0,0
den enkle dsb 65-billet,1,0,0,0,0,0,0,0,0
Ved det ikke,0,0,0,0,1,0,0,0,0
At målgruppen kan vælge flere muligheder for at kommer over bæltet,1,0,0,0,0,0,0,0,0
At pensionister kan få rabat,1,0,0,0,0,0,0,0,0
At vi pensionister har mulighed for relativt billige billetter,1,0,0,0,0,0,0,0,0
"At fer er flere muligheder samt mulighed dor rabat, hvis man tænker sig om",1,0,0,0,0,0,0,0,0
At de tager hensyn til de ældre og deres manglende muligheder for transport,1,0,0,0,0,0,0,0,0
Gode oplevelser os der er over 65,1,0,0,0,0,0,0,0,0
"Håber at man forsøger at få flere kunder.
Jeg er dog lidt i tvivl om hvor mange kræfter man har lagt i at udbrede kendskabet til disse produkter,  f.eks. har jeg ikke bemærket denne reklame selvom jeg er målgruppen !",1,1,0,0,0,0,0,0,0
"Selvfølgelig ønsker de at flere skal tage toget, uanset ærinde, job, alder mv. det er jo det de lever af.",0,0,0,1,0,0,0,0,0
at der er flere muligheder,0,1,0,0,0,0,0,0,0
Det hele er nemt og hurtigt,0,0,1,0,0,0,0,0,0
"billige og bekvem transport, transport til tiden",0,0,1,0,0,0,0,0,0
At der er tre typer billetter,0,1,0,0,0,0,0,0,0
"At ældre
frit kan vælge melkd tre billettyper",0,1,0,0,0,0,0,0,0
Muligheder for at rejse billigt,0,1,0,0,0,0,0,0,0
"har ingen anelse. 
Måske at de tror deres kunder er idioter eller noget lignende",1,0,0,0,0,0,0,0,0
at når du er over 65 har du flere valg end andre,1,0,0,0,0,0,0,0,0
at alt er såre nemt - men det er det ikke!,1,0,1,0,0,0,0,0,0
Rabat,0,1,0,0,0,0,0,0,0
At der er flere typer rabatter til pensionister,1,0,0,0,0,0,0,0,0
Ønske om bedre omdømme,0,0,0,1,0,0,0,0,0
Mulighed for rabat ved pensionister,1,0,0,0,0,0,0,0,0
billigere billetter på orange,0,1,0,0,0,0,0,0,0
65årige har flere muligheder,1,0,0,0,0,0,0,0,0
Hvad der er af billettyper,0,1,0,0,0,0,0,0,0
"Vise, at der er flere billettyper for folk over 65",1,0,0,0,0,0,0,0,0
De vi gerne have os der er grå i toppen til at køre med tog.,0,0,0,1,0,0,0,0,0
Billigt og nemt,0,0,1,0,0,0,0,0,0
At der er flere mulige billetløsninger til 65+ segmentet,1,0,0,0,0,0,0,0,0
tilbud til personer over 65,1,0,0,0,0,0,0,0,0
At pensionister kan benytte forskellige rabatter,1,0,0,0,0,0,0,0,0
At der er tre priser på biletter til folk over 65,1,0,0,0,0,0,0,0,0
deres problem,0,0,0,0,0,1,0,0,0
3 rabattyper til folk over 65,1,0,0,0,0,0,0,0,0
Spar penge som pensionist,1,0,0,0,0,0,0,0,0
At de har et indviklet billetsystem,1,0,0,0,0,0,0,0,0
Priserne? Rabat i % ift. ordinære billetter?,0,1,0,0,0,0,0,0,0
Blilg transport,0,1,0,0,0,0,0,0,0
Få flere ældre til at bruge toget og bruge det uden for pendlertiden,1,0,0,1,0,0,0,0,0
De vil gerne komme til tiden - det er bare et helvede.,1,0,0,0,0,0,0,0,0
Gøre pensionister opmærksom på billigere og mere fleksible billetter.,1,0,0,0,0,0,0,0,0
At inddrage de ældre folk og vise dem at der er flere muligheder for dem.,1,0,0,0,0,0,0,0,0
Man vil gerne have ældre og pensionister til at overveje billettype if. med rejse med DSB..,1,0,0,1,0,0,0,0,0
"At man har 3 gode muligheder , når man er over 65.",1,0,0,0,0,0,0,0,0
At man som 65 og derover har hele tre muligheder for billetter,1,0,0,0,0,0,0,0,0
At det er nemt og fleksibelt at tage toget,0,0,1,0,0,0,0,0,0
"få flere pensionister til at tage over sundet, mange har familie i hovedstaden",1,0,0,0,0,0,0,0,0
"Der er flere muligheder for at få rabat, hvis man er over 65 år",1,0,0,0,0,0,0,0,0
"Få mig til at tage toget til Odense.
DEt taget mig 1½ time længere at komme over til min datter så 
og er dyrere. så den går ikke-",0,0,0,0,0,1,0,0,0
billig rejse over storebælt,0,1,0,0,0,0,0,0,0
hvorfor er det storebælt der skal skille det ad    ???????,0,0,0,0,0,1,0,0,0
at jeg kan komme over store bælt på tre forskellige billetter,1,0,0,0,0,0,0,0,0
Deres tilbud omkring Orange billetter og mulighederne for rejsende der er 65+,1,1,0,0,0,0,0,0,0
At ældre skal have mere rabat end andre mens de slagter rabatten til studerende.,1,0,0,0,0,0,0,0,0
"AT DE KØRER  HVER DAG ,VI SKAL BARE BRUGE DEM",0,0,0,1,0,0,0,0,0
Pensionister kan spare penge,1,0,0,0,0,0,0,0,0
"at det er billigt at rejse over storebælt med DSB, billigere end man tror. At det er for 65 årige",1,1,0,0,0,0,0,0,0
At der er mange muligheder for at bruge toget i stedet for bilen - og det er også økonomisk interessant,0,1,0,0,0,0,0,0,0
Få flere kunder,0,0,0,1,0,0,0,0,0
At der er flere muligheder for billetter når man er pensionist,1,0,0,0,0,0,0,0,0
"at DSB har ""tilbud"" til folk over 65",1,0,0,0,0,0,0,0,0
Rejsen kan gøres til en fornuftig pris.,0,1,0,0,0,0,0,0,0
det fleksible rejsekort,0,1,0,0,0,0,0,0,0
at der stadig er tog,0,0,0,1,0,0,0,0,0
at man kan spare nogle penge på at købe 65 billetter,1,0,0,0,0,0,0,0,0
"At der er billige billetter, men de er ikke til at få.",1,1,0,0,0,0,0,0,0
"at man som 65 årig kan få 3 ""fordele""",1,0,0,0,0,0,0,0,0
Fordele for ældre at bruge DSB,1,0,0,0,0,0,0,0,0
har ikke set den før. vil fortælle billet muligheder,0,1,0,0,0,0,0,0,0
er du 65 tager vi røven på dig på tre måder,1,0,0,0,0,0,0,0,0
At DSB er for pensionister,1,0,0,0,0,0,0,0,0
At man som 65 årig kan vælge mellem tre billettyper,1,0,0,0,0,0,0,0,0
At man kan spare penge på 3 forskellige måder ift normalbilletter hvis man er over 65 år.,1,0,0,0,0,0,0,0,0
At der er særlig gode muligheder for 65+'erne,1,0,0,0,0,0,0,0,0
Det er billigt at rejse som pensionist,1,0,0,0,0,0,0,0,0
Tilbud til pensionister,1,0,0,0,0,0,0,0,0
Skabe forståelse i den forvirring der har været omkring billettyperne,0,1,0,0,0,0,0,0,0
At du har mulighed for at rejse billigt,0,1,0,0,0,0,0,0,0
Hvis du er over 65 kan du kører billigere over Storebælt,1,0,0,0,0,0,0,0,0
Fortællertaleboblerne jo!,0,0,0,0,0,1,0,0,0
Valgmuligheder - sælge billetter,0,1,0,1,0,0,0,0,0
Fortælle de ældre at det er billigere at tage toget,1,0,0,0,0,0,0,0,0
Som 65 årig skal man være opmærksom overfor dette tilbud ved rejse over Storebælt,1,0,0,0,0,0,0,0,0
Fordele ved at køre med DSB,1,0,0,0,0,0,0,0,0
at der er flere muligheder,0,1,0,0,0,0,0,0,0
Der er flere måder at købe billet på,0,1,0,0,0,0,0,0,0
Forskel på billet typerne,0,1,0,0,0,0,0,0,0
Rabat til folk over 65 år.,1,0,0,0,0,0,0,0,0
"At der er tre forskellige slags billetter til rejser over Storebælt, hvis man er fyldt 65.",1,0,0,0,0,0,0,0,0
"At jeg kan vælge mellem 3 forskellige billettyper - men INTET om hvordan jeg, når jeg bor på landet - kan købe en sådan billet",1,0,0,0,0,0,0,0,0
Hurtig nemt og fremkommelig og en besparelse på togrejsen,0,0,1,0,0,0,0,0,0
at der er flere tilbud når man er over 65,1,0,0,0,0,0,0,0,0
At mulighederne er mange,0,1,0,0,0,0,0,0,0
Man kan købe individuelle bllletter.,0,1,0,0,0,0,0,0,0
At det er billigt for pensionister at tage toget,1,0,0,0,0,0,0,0,0
"At der er flere muligheder, men i virkeligheden har man jo kun brug for EN mulighed, den bedste og billigste!",0,1,0,0,0,0,0,0,0
pensionister har flere muligheder,1,0,0,0,0,0,0,0,0
"forskellige muligheder for dem, der rejser på 65 billet. Man bruger begrebet 65 billet, men reglerne og mulighederne for at bruge den billet er ændret væsentligt. 
Måske var det klogere at give billetformen et andet navn.",0,0,0,0,0,1,0,0,0
"At man kan køre billigt når man er over 65, alt efter hvad man skal bruge toget til.",1,0,0,0,0,0,0,0,0
At få pensionister til at bruge DSB,0,0,0,1,0,0,0,0,0
Du skal tage toget,0,0,0,1,0,0,0,0,0
at jeg skal tage toget - især hvis jeg var over 65,0,0,0,1,0,0,0,0,0
"At det er nemt og billigt for pensionister, at rejse med tog.",1,0,1,0,0,0,0,0,0
at jo ældre du bliver jo mere rabat,1,0,0,0,0,0,0,0,0
At de gør noget for de ældre (de skulle hellere sætte billetpriserne ned),1,0,0,0,0,0,0,0,0
Tag toget,0,0,0,1,0,0,0,0,0
At de har flere forskellige tilbud til folk over 65,1,0,0,0,0,0,0,0,0
"fortælle ældre, at det er billigt at rejse med tog",1,0,0,0,0,0,0,0,0
At der 3 billige måder at rejse på,1,0,0,0,0,0,0,0,0
De ønsker vel at få flere passagerer.,0,0,0,1,0,0,0,0,0
At få folk på 65 til rejse med tog,1,0,0,1,0,0,0,0,0
"At de gamle heller ikke kører MED DSB, og det vil man gøre opmærksom på.",0,0,0,1,0,0,0,0,0
Er du fyldt 65 er det billigere med kollektiv transport.,1,0,0,0,0,0,0,0,0
"DSB. vil gerne have flere kunder ,men det er besværlig for ældre personer at købe bilet og ellers at begå sig med alle de nye ting der sker. Jeg mener ikke at systemet tager nok hensyn til ældre personer.",1,0,0,1,0,0,0,0,0
At der er gode priser på rejser når man er over 65,1,0,0,0,0,0,0,0,0
Tja flere prismuligheder for pensionister,1,0,0,0,0,0,0,0,0
"Service , tog til tiden , troværdig , kvalitet til pris .",0,0,1,0,0,0,0,0,0
reklamere for sig selv,0,0,0,1,0,0,0,0,0
At der er 3 områder hvor man får rabat når man er fyldt 65 år,1,0,0,0,0,0,0,0,0
"At de nu kun sætter de ældre, men ikke dem, der er på SU, i centrum",1,0,0,0,0,0,0,0,0
"At det er nemt og billigt at rejse med tog når man er fyldt 65, men igen, det afspejler ikke virkeligheden.",1,0,0,0,0,0,0,0,0
De vil vel have flere gamle til at køre med tog,0,0,0,1,0,0,0,0,0
For skelligt muligheder for denne aldersgruppe og ar 65 billetter er afskaffet,1,0,0,0,0,0,0,0,0
ingenting,0,0,0,0,0,1,0,0,0
Valg mulighed,0,1,0,0,0,0,0,0,0
der er tre valgmuligheder,1,0,0,0,0,0,0,0,0
"At det er let og billigt for modne/""ældre at bruge dsb",1,0,1,0,0,0,0,0,0
"at det er nemt og billigt at rejse med DSB, hvis man er 65 +",1,0,1,0,0,0,0,0,0
Køb vores billetter,0,0,0,1,0,0,0,0,0
Fordi kunderne ikke kan finde rundt i billet junglen,1,0,0,0,0,0,0,0,0
at man kan rejse billigt over Storebælt,0,1,0,0,0,0,0,0,0
at de har et godt tilbud til folk over 65 år,1,0,0,0,0,0,0,0,0
at man kan få billige biletter,0,1,0,0,0,0,0,0,0
at det ikke er så dyrt at rejse og heller ikke besværligt,0,0,1,0,0,0,0,0,0
At der er gode tilbud for pensionister,1,0,0,0,0,0,0,0,0
at man som 65årig eller ældre kan vælge mellem 3 typer billetter alt efter behov,1,0,0,0,0,0,0,0,0
At man kan købe billige rejser når man er over 65 år,1,0,0,0,0,0,0,0,0
"At der er flere muligheder. 
Ved at der er stor forskel på muligheden for at udnytte tilbuddet.",0,1,0,0,0,0,0,0,0
"De ønsker at fortælle, at der er forskellige muligheder for billettyper, når man er fyldt 65, og at det åbner for nye muligheder, som der ikke er for folk under 65 år.",1,0,0,0,0,0,0,0,0
Hvis man er fyldt 65 er der flere muligheder,1,0,0,0,0,0,0,0,0
Forskellige billettyper til seniorer,1,0,0,0,0,0,0,0,0
At over 65 skal køre med tog,1,0,0,1,0,0,0,0,0
"Ligesom Adam, så er alt det dårlige ikke deres skyld.",0,0,0,0,0,1,0,0,0
At man kan få rabatter med DSB hvis man er over 65 år eller er førtidspensionist,1,0,0,0,0,0,0,0,0
?,0,0,0,0,1,0,0,0,0
At ældre kan rejse billigt på flere måder,1,0,0,0,0,0,0,0,0
de vil vel gerne sælge flere billetter,0,0,0,1,0,0,0,0,0
At man kan rejse i en høj alder,1,0,0,0,0,0,0,0,0
Hvordan man kan rejse billigt som 65 år,1,0,0,0,0,0,0,0,0
godt tilbud til ældre der frit kan vælge,1,0,0,0,0,0,0,0,0
Der er flere rabatmuligheder,0,1,0,0,0,0,0,0,0
at der er aldersfordele,1,0,0,0,0,0,0,0,0
"At det kan være ""smart"" at bruge DSB",0,0,1,0,0,0,0,0,0
hvor billigt og nemt det er for pensionister....men er det nu helt rigtigt!!!!,1,0,1,0,0,0,0,0,0
At pensionister har mulighed for at spare mere end ved blot at benytte den ordinære 65-billet,1,0,0,0,0,0,0,0,0
kør offentligt som pensionist,1,0,0,0,0,0,0,0,0
Hvis man er 65 år eller ældre har man 3 gode rabat muligheder.,1,0,0,0,0,0,0,0,0
At de har fleksible tilbud til alle pensionister,1,0,0,0,0,0,0,0,0
Nemhed,0,0,1,0,0,0,0,0,0
At det er billigere for pensionister.,1,0,0,0,0,0,0,0,0
de er fntastiske  !,0,0,0,1,0,0,0,0,0
rabat til folk over 65,1,0,0,0,0,0,0,0,0
Det er fordelagtigt for pensionister at rejse med DSB,1,0,0,0,0,0,0,0,0
få flere til at rejse,0,0,0,1,0,0,0,0,0
De har mange forskellige billetter,0,1,0,0,0,0,0,0,0
At toget køre. Det er alt for dyrt at køre med tog. ca. 1000Kr til Århus og 143 med bus.,1,0,0,0,0,0,0,0,0
"En forenklet oplevelse (nu med 3 muligheder)
Til at gøre forvirring total",1,0,0,0,0,0,0,0,0
At der findes flere muligheder for rejse over Storebælt.,0,1,0,0,0,0,0,0,0
"At man skal se sig for, inden man vælger billet",0,1,0,0,0,0,0,0,0
"At man kan få rabat, når man er over 65 år. - Desværre er tilbuddet uoverskueligt. Jeg ville gerne nøjes med en rabatpris, som det var nemt at forholde sig til.",1,0,0,0,0,0,0,0,0
Man  vil gerne have flere ældre til at benytte toget som transportmiddel.,0,0,0,1,0,0,0,0,0
aner det ikke,0,0,0,0,1,0,0,0,0
at pensionister har flere muligheder,1,0,0,0,0,0,0,0,0
"Nyt, godt og nemt for personer over 65 år",1,0,0,0,0,0,0,0,0
At fortælle om de forskellige muligheder og samtidig lokke folk til at benytte toget.,1,0,0,0,0,0,0,0,0
Interesserer mig ikke.,0,0,0,0,1,0,0,0,0
tilbud,0,1,0,0,0,0,0,0,0
"At det er muligt at købe billige billetter, hvis man er hurtig",0,1,0,0,0,0,0,0,0
At det er godt nemt og foruftigt at rejse kollektivt. Heller ikke så svært,0,0,1,0,0,0,0,0,0
At det er godt med kollektiv trafik,0,0,1,0,0,0,0,0,0
Billigere end man tror!!,0,1,0,0,0,0,0,0,0
flere muligheder,1,0,0,0,0,0,0,0,0
Billigere tog ved fyldt 65,1,0,0,0,0,0,0,0,0
Fortælle om mulighederne med fokus på orange billetter,0,1,0,0,0,0,0,0,0
At der er fordele for dem over 65,1,0,0,0,0,0,0,0,0
Fordele for ældre.,1,0,0,0,0,0,0,0,0
At du har 3 mulighed af pris som DSB tilbyder kunder,1,0,0,0,0,0,0,0,0
de vil have kunder,0,0,0,1,0,0,0,0,0
noget til pensionister,1,0,0,0,0,0,0,0,0
pris,0,1,0,0,0,0,0,0,0
AT der er flere muligheder at rejse på som pensionist alt efter behov.,1,0,0,0,0,0,0,0,0
At der er flere muligheder,0,1,0,0,0,0,0,0,0
gøre opmærksom på rabatordninger,0,1,0,0,0,0,0,0,0
At man kan rejse på flere måder som folkepensionist.,1,0,0,0,0,0,0,0,0
Oplysning til pensionister om muligheder for billetter når de rejser over Storebælt,1,0,0,0,0,0,0,0,0
At folk der er fyldt 65 kan få flere fordele,1,0,0,0,0,0,0,0,0
"De vil lukke munden på de ældre , og så fortæller de en historie , der skal lyde som en fordel, men sikker ikke er det",1,0,0,0,0,0,0,0,0
Gode tilbud til folk over 65 år,1,0,0,0,0,0,0,0,0
Flere ældre skal tage DSB ud i Danmark og få oplevelser,1,0,0,0,0,0,0,0,0
Tror det bliver billigere,0,1,0,0,0,0,0,0,0
At der er mange muligheder for seniorer,1,0,0,0,0,0,0,0,0
At de gerne vil have flere til at rejse på ruten over bæltet,0,0,0,1,0,0,0,0,0
At de gerne vil sælge billetter,0,0,0,1,0,0,0,0,0
At du har mange rejsemuligheder alt efter hvilken person du er,1,0,0,0,0,0,0,0,0
pensionist rabat,1,0,0,0,0,0,0,0,0
valgmulighed indenfor billigere billetter,0,1,0,0,0,0,0,0,0
At der er flere muligheder for ældre,1,0,0,0,0,0,0,0,0
oplyse om 3 typer billetter,0,1,0,0,0,0,0,0,0
"Hvordan du som pensionist kommer billigst over Storebælt og
Øresund. Samt kører billigst rundt i landet",0,1,0,0,0,0,0,0,0
valgmulighede du kan tilpasse til dig,0,1,0,0,0,0,0,0,0
Information til +65,1,0,0,0,0,0,0,0,0
Vel flere   kunder - det er vel derfor det bliver annonceret,0,0,0,1,0,0,0,0,0
For at bliver en bedre virksomhede,0,0,1,0,0,0,0,0,0
at man skal tænke sig om,0,1,0,0,0,0,0,0,0
At DSB er OBS på pensionister,1,0,0,0,0,0,0,0,0
Billigt for pensionister at rejse med DSB,1,0,0,0,0,0,0,0,0
At der er tre forsk. priser,0,1,0,0,0,0,0,0,0
"At vi gamle har nogle muligheder for at rejse billigt med tog, fordi vi er fleksible m.h.t. tid",1,0,0,0,0,0,0,0,0
kundevenlighed,0,0,1,0,0,0,0,0,0
at der er visse tilbud for 65 årige.,1,0,0,0,0,0,0,0,0
Tage toget oftere,0,0,0,1,0,0,0,0,0
Flexibilitet for dem over 65,1,0,0,0,0,0,0,0,0
Billigere rejser,0,1,0,0,0,0,0,0,0
Reklame for tomme tog!,0,0,0,1,0,0,0,0,0
Der er fordele for ældre,1,0,0,0,0,0,0,0,0
"At ældre har valgmuligheder, afhængigt af deres behov.",1,0,0,0,0,0,0,0,0
Muligheder for forskellige rejsemuligheder,0,1,0,0,0,0,0,0,0
De ønsker at tilbyde flere muligheder til de ældre,1,0,0,0,0,0,0,0,0
At det stadig er mulig for 65 årige og derover at rejse til under normal pris,1,0,0,0,0,0,0,0,0
at man selv kan vælge hvor billig man vil have det,0,1,0,0,0,0,0,0,0
Muligheder,0,1,0,0,0,0,0,0,0
For at få folk til at bruge toget og de har tiden fordi de er pensionister,1,0,0,0,0,0,0,0,0
muligheder når du er 65,1,0,0,0,0,0,0,0,0
Jeg ved det ikke - for uigennemskueligt,0,0,0,0,1,0,0,0,0
Særlige tilbud til personer over 65,1,0,0,0,0,0,0,0,0
"Vil gerne have flere kunder.
Jeg er pensionist og har brugt
65 billetter i mange år. Tilbud
Gælder kun storebælt.
Nu er 65 billetten overstået fra Fyn -
Jylland.",0,0,0,0,0,1,0,0,0
"At der er 3 billet muligheder, hvis man vil over storebælt.",0,1,0,0,0,0,0,0,0
At dem fra fyn der skal til jylland skal betale lidt mere,1,0,0,0,0,0,0,0,0
